product,sales,date,region
pink morsel,$1671,24-06-2019,east
pink morsel,$1800,24-06-2019,west
pink morsel,$1611,25-06-2019,north
pink morsel,$1797,25-06-2019,south
pink morsel,$1623,25-06-2019,east
pink morsel,$1776,25-06-2019,west
pink morsel,$1677,26-06-2019,north
pink morsel,$1800,26-06-2019,south
pink morsel,$1794,26-06-2019,east
pink morsel,$1686,26-06-2019,west
pink morsel,$1671,27-06-2019,north
pink morsel,$1635,27-06-2019,south
pink morsel,$1740,27-06-2019,east
pink morsel,$1671,27-06-2019,west
pink morsel,$1671,28-06-2019,north
pink morsel,$1770,28-06-2019,south
pink morsel,$1773,28-06-2019,east
pink morsel,$1581,28-06-2019,west
pink morsel,$1533,29-06-2019,north
pink morsel,$1650,29-06-2019,south
pink morsel,$1536,29-06-2019,east
pink morsel,$1548,29-06-2019,west
pink morsel,$1785,30-06-2019,north
pink morsel,$1614,30-06-2019,south
pink morsel,$1569,30-06-2019,east
pink morsel,$1800,30-06-2019,west
pink morsel,$1644,01-07-2019,north
pink morsel,$1659,01-07-2019,south
pink morsel,$1659,01-07-2019,east
pink morsel,$1644,01-07-2019,west
pink morsel,$1656,02-07-2019,north
pink morsel,$1566,02-07-2019,south
pink morsel,$1686,02-07-2019,east
pink morsel,$1677,02-07-2019,west
pink morsel,$1770,03-07-2019,north
pink morsel,$1689,03-07-2019,south
pink morsel,$1704,03-07-2019,east
pink morsel,$1800,03-07-2019,west
pink morsel,$1782,04-07-2019,north
pink morsel,$1746,04-07-2019,south
pink morsel,$1527,04-07-2019,east
pink morsel,$1581,04-07-2019,west
pink morsel,$1518,05-07-2019,north
pink morsel,$1554,05-07-2019,south
pink morsel,$1548,05-07-2019,east
pink morsel,$1533,05-07-2019,west
pink morsel,$1791,06-07-2019,north
pink morsel,$1578,06-07-2019,south
pink morsel,$1779,06-07-2019,east
pink morsel,$1704,06-07-2019,west
pink morsel,$1587,07-07-2019,north
pink morsel,$1593,07-07-2019,south
pink morsel,$1644,07-07-2019,east
pink morsel,$1680,07-07-2019,west
pink morsel,$1614,08-07-2019,north
pink morsel,$1704,08-07-2019,south
pink morsel,$1797,08-07-2019,east
pink morsel,$1770,08-07-2019,west
pink morsel,$1605,09-07-2019,north
pink morsel,$1686,09-07-2019,south
pink morsel,$1794,09-07-2019,east
pink morsel,$1713,09-07-2019,west
pink morsel,$1755,10-07-2019,north
pink morsel,$1500,10-07-2019,south
pink morsel,$1632,10-07-2019,east
pink morsel,$1800,10-07-2019,west
pink morsel,$1800,11-07-2019,north
pink morsel,$1650,11-07-2019,south
pink morsel,$1704,11-07-2019,east
pink morsel,$1590,11-07-2019,west
pink morsel,$1779,12-07-2019,north
pink morsel,$1554,12-07-2019,south
pink morsel,$1635,12-07-2019,east
pink morsel,$1608,12-07-2019,west
pink morsel,$1791,13-07-2019,north
pink morsel,$1779,13-07-2019,south
pink morsel,$1527,13-07-2019,east
pink morsel,$1689,13-07-2019,west
pink morsel,$1782,14-07-2019,north
pink morsel,$1662,14-07-2019,south
pink morsel,$1620,14-07-2019,east
pink morsel,$1692,14-07-2019,west
pink morsel,$1551,15-07-2019,north
pink morsel,$1620,15-07-2019,south
pink morsel,$1725,15-07-2019,east
pink morsel,$1602,15-07-2019,west
pink morsel,$1518,16-07-2019,north
pink morsel,$1761,16-07-2019,south
pink morsel,$1539,16-07-2019,east
pink morsel,$1614,16-07-2019,west
pink morsel,$1548,17-07-2019,north
pink morsel,$1551,17-07-2019,south
pink morsel,$1722,17-07-2019,east
pink morsel,$1662,17-07-2019,west
pink morsel,$1509,18-07-2019,north
pink morsel,$1773,18-07-2019,south
pink morsel,$1767,18-07-2019,east
pink morsel,$1581,18-07-2019,west
pink morsel,$1626,19-07-2019,north
pink morsel,$1734,19-07-2019,south
pink morsel,$1761,19-07-2019,east
pink morsel,$1659,19-07-2019,west
pink morsel,$1638,20-07-2019,north
pink morsel,$1539,20-07-2019,south
pink morsel,$1782,20-07-2019,east
pink morsel,$1728,20-07-2019,west
pink morsel,$1746,21-07-2019,north
pink morsel,$1536,21-07-2019,south
pink morsel,$1719,21-07-2019,east
pink morsel,$1773,21-07-2019,west
pink morsel,$1611,22-07-2019,north
pink morsel,$1665,22-07-2019,south
pink morsel,$1506,22-07-2019,east
pink morsel,$1746,22-07-2019,west
pink morsel,$1770,23-07-2019,north
pink morsel,$1734,23-07-2019,south
pink morsel,$1707,23-07-2019,east
pink morsel,$1620,23-07-2019,west
pink morsel,$1569,24-07-2019,north
pink morsel,$1656,24-07-2019,south
pink morsel,$1617,24-07-2019,east
pink morsel,$1638,24-07-2019,west
pink morsel,$1701,25-07-2019,north
pink morsel,$1713,25-07-2019,south
pink morsel,$1557,25-07-2019,east
pink morsel,$1725,25-07-2019,west
pink morsel,$1605,26-07-2019,north
pink morsel,$1770,26-07-2019,south
pink morsel,$1557,26-07-2019,east
pink morsel,$1755,26-07-2019,west
pink morsel,$1737,27-07-2019,north
pink morsel,$1785,27-07-2019,south
pink morsel,$1545,27-07-2019,east
pink morsel,$1560,27-07-2019,west
pink morsel,$1509,28-07-2019,north
pink morsel,$1761,28-07-2019,south
pink morsel,$1551,28-07-2019,east
pink morsel,$1683,28-07-2019,west
pink morsel,$1644,29-07-2019,north
pink morsel,$1608,29-07-2019,south
pink morsel,$1719,29-07-2019,east
pink morsel,$1794,29-07-2019,west
pink morsel,$1764,30-07-2019,north
pink morsel,$1512,30-07-2019,south
pink morsel,$1701,30-07-2019,east
pink morsel,$1797,30-07-2019,west
pink morsel,$1734,31-07-2019,north
pink morsel,$1791,31-07-2019,south
pink morsel,$1761,31-07-2019,east
pink morsel,$1587,31-07-2019,west
pink morsel,$1596,01-08-2019,north
pink morsel,$1542,01-08-2019,south
pink morsel,$1710,01-08-2019,east
pink morsel,$1701,01-08-2019,west
pink morsel,$1647,02-08-2019,north
pink morsel,$1524,02-08-2019,south
pink morsel,$1782,02-08-2019,east
pink morsel,$1716,02-08-2019,west
pink morsel,$1752,03-08-2019,north
pink morsel,$1686,03-08-2019,south
pink morsel,$1764,03-08-2019,east
pink morsel,$1755,03-08-2019,west
pink morsel,$1578,04-08-2019,north
pink morsel,$1539,04-08-2019,south
pink morsel,$1743,04-08-2019,east
pink morsel,$1596,04-08-2019,west
pink morsel,$1506,05-08-2019,north
pink morsel,$1527,05-08-2019,south
pink morsel,$1626,05-08-2019,east
pink morsel,$1530,05-08-2019,west
pink morsel,$1521,06-08-2019,north
pink morsel,$1713,06-08-2019,south
pink morsel,$1761,06-08-2019,east
pink morsel,$1557,06-08-2019,west
pink morsel,$1584,07-08-2019,north
pink morsel,$1764,07-08-2019,south
pink morsel,$1623,07-08-2019,east
pink morsel,$1776,07-08-2019,west
pink morsel,$1749,08-08-2019,north
pink morsel,$1707,08-08-2019,south
pink morsel,$1629,08-08-2019,east
pink morsel,$1773,08-08-2019,west
pink morsel,$1758,09-08-2019,north
pink morsel,$1671,09-08-2019,south
pink morsel,$1659,09-08-2019,east
pink morsel,$1641,09-08-2019,west
pink morsel,$1596,10-08-2019,north
pink morsel,$1626,10-08-2019,south
pink morsel,$1557,10-08-2019,east
pink morsel,$1695,10-08-2019,west
pink morsel,$1659,11-08-2019,north
pink morsel,$1680,11-08-2019,south
pink morsel,$1683,11-08-2019,east
pink morsel,$1692,11-08-2019,west
pink morsel,$1569,12-08-2019,north
pink morsel,$1740,12-08-2019,south
pink morsel,$1650,12-08-2019,east
pink morsel,$1569,12-08-2019,west
pink morsel,$1701,13-08-2019,north
pink morsel,$1677,13-08-2019,south
pink morsel,$1533,13-08-2019,east
pink morsel,$1587,13-08-2019,west
pink morsel,$1713,14-08-2019,north
pink morsel,$1611,14-08-2019,south
pink morsel,$1524,14-08-2019,east
pink morsel,$1725,14-08-2019,west
pink morsel,$1761,15-08-2019,north
pink morsel,$1569,15-08-2019,south
pink morsel,$1668,15-08-2019,east
pink morsel,$1563,15-08-2019,west
pink morsel,$1734,16-08-2019,north
pink morsel,$1524,16-08-2019,south
pink morsel,$1731,16-08-2019,east
pink morsel,$1665,16-08-2019,west
pink morsel,$1710,17-08-2019,north
pink morsel,$1509,17-08-2019,south
pink morsel,$1539,17-08-2019,east
pink morsel,$1533,17-08-2019,west
pink morsel,$1785,18-08-2019,north
pink morsel,$1665,18-08-2019,south
pink morsel,$1722,18-08-2019,east
pink morsel,$1659,18-08-2019,west
pink morsel,$1791,19-08-2019,north
pink morsel,$1680,19-08-2019,south
pink morsel,$1542,19-08-2019,east
pink morsel,$1701,19-08-2019,west
pink morsel,$1671,20-08-2019,north
pink morsel,$1656,20-08-2019,south
pink morsel,$1536,20-08-2019,east
pink morsel,$1800,20-08-2019,west
pink morsel,$1605,21-08-2019,north
pink morsel,$1671,21-08-2019,south
pink morsel,$1590,21-08-2019,east
pink morsel,$1545,21-08-2019,west
pink morsel,$1500,22-08-2019,north
pink morsel,$1779,22-08-2019,south
pink morsel,$1656,22-08-2019,east
pink morsel,$1731,22-08-2019,west
pink morsel,$1614,23-08-2019,north
pink morsel,$1782,23-08-2019,south
pink morsel,$1629,23-08-2019,east
pink morsel,$1635,23-08-2019,west
pink morsel,$1548,24-08-2019,north
pink morsel,$1776,24-08-2019,south
pink morsel,$1743,24-08-2019,east
pink morsel,$1737,24-08-2019,west
pink morsel,$1644,25-08-2019,north
pink morsel,$1626,25-08-2019,south
pink morsel,$1680,25-08-2019,east
pink morsel,$1524,25-08-2019,west
pink morsel,$1515,26-08-2019,north
pink morsel,$1704,26-08-2019,south
pink morsel,$1653,26-08-2019,east
pink morsel,$1554,26-08-2019,west
pink morsel,$1644,27-08-2019,north
pink morsel,$1674,27-08-2019,south
pink morsel,$1665,27-08-2019,east
pink morsel,$1755,27-08-2019,west
pink morsel,$1566,28-08-2019,north
pink morsel,$1659,28-08-2019,south
pink morsel,$1515,28-08-2019,east
pink morsel,$1779,28-08-2019,west
pink morsel,$1572,29-08-2019,north
pink morsel,$1770,29-08-2019,south
pink morsel,$1632,29-08-2019,east
pink morsel,$1677,29-08-2019,west
pink morsel,$1755,30-08-2019,north
pink morsel,$1527,30-08-2019,south
pink morsel,$1623,30-08-2019,east
pink morsel,$1668,30-08-2019,west
pink morsel,$1683,31-08-2019,north
pink morsel,$1698,31-08-2019,south
pink morsel,$1749,31-08-2019,east
pink morsel,$1632,31-08-2019,west
pink morsel,$1785,01-09-2019,north
pink morsel,$1707,01-09-2019,south
pink morsel,$1518,01-09-2019,east
pink morsel,$1563,01-09-2019,west
pink morsel,$1701,02-09-2019,north
pink morsel,$1605,02-09-2019,south
pink morsel,$1596,02-09-2019,east
pink morsel,$1605,02-09-2019,west
pink morsel,$1716,03-09-2019,north
pink morsel,$1569,03-09-2019,south
pink morsel,$1725,03-09-2019,east
pink morsel,$1542,03-09-2019,west
pink morsel,$1692,04-09-2019,north
pink morsel,$1560,04-09-2019,south
pink morsel,$1515,04-09-2019,east
pink morsel,$1653,04-09-2019,west
pink morsel,$1629,05-09-2019,north
pink morsel,$1668,05-09-2019,south
pink morsel,$1698,05-09-2019,east
pink morsel,$1677,05-09-2019,west
pink morsel,$1503,06-09-2019,north
pink morsel,$1776,06-09-2019,south
pink morsel,$1509,06-09-2019,east
pink morsel,$1665,06-09-2019,west
pink morsel,$1683,07-09-2019,north
pink morsel,$1530,07-09-2019,south
pink morsel,$1782,07-09-2019,east
pink morsel,$1584,07-09-2019,west
pink morsel,$1743,08-09-2019,north
pink morsel,$1551,08-09-2019,south
pink morsel,$1620,08-09-2019,east
pink morsel,$1791,08-09-2019,west
pink morsel,$1674,09-09-2019,north
pink morsel,$1797,09-09-2019,south
pink morsel,$1773,09-09-2019,east
pink morsel,$1596,09-09-2019,west
pink morsel,$1617,10-09-2019,north
pink morsel,$1764,10-09-2019,south
pink morsel,$1632,10-09-2019,east
pink morsel,$1506,10-09-2019,west
pink morsel,$1533,11-09-2019,north
pink morsel,$1677,11-09-2019,south
pink morsel,$1746,11-09-2019,east
pink morsel,$1668,11-09-2019,west
pink morsel,$1797,12-09-2019,north
pink morsel,$1545,12-09-2019,south
pink morsel,$1701,12-09-2019,east
pink morsel,$1578,12-09-2019,west
pink morsel,$1626,13-09-2019,north
pink morsel,$1512,13-09-2019,south
pink morsel,$1788,13-09-2019,east
pink morsel,$1671,13-09-2019,west
pink morsel,$1728,14-09-2019,north
pink morsel,$1653,14-09-2019,south
pink morsel,$1644,14-09-2019,east
pink morsel,$1734,14-09-2019,west
pink morsel,$1746,15-09-2019,north
pink morsel,$1524,15-09-2019,south
pink morsel,$1611,15-09-2019,east
pink morsel,$1626,15-09-2019,west
pink morsel,$1668,16-09-2019,north
pink morsel,$1734,16-09-2019,south
pink morsel,$1797,16-09-2019,east
pink morsel,$1725,16-09-2019,west
pink morsel,$1656,17-09-2019,north
pink morsel,$1530,17-09-2019,south
pink morsel,$1695,17-09-2019,east
pink morsel,$1656,17-09-2019,west
pink morsel,$1797,18-09-2019,north
pink morsel,$1515,18-09-2019,south
pink morsel,$1638,18-09-2019,east
pink morsel,$1797,18-09-2019,west
pink morsel,$1800,19-09-2019,north
pink morsel,$1560,19-09-2019,south
pink morsel,$1506,19-09-2019,east
pink morsel,$1581,19-09-2019,west
pink morsel,$1515,20-09-2019,north
pink morsel,$1527,20-09-2019,south
pink morsel,$1758,20-09-2019,east
pink morsel,$1638,20-09-2019,west
pink morsel,$1605,21-09-2019,north
pink morsel,$1716,21-09-2019,south
pink morsel,$1569,21-09-2019,east
pink morsel,$1674,21-09-2019,west
pink morsel,$1632,22-09-2019,north
pink morsel,$1734,22-09-2019,south
pink morsel,$1530,22-09-2019,east
pink morsel,$1689,22-09-2019,west
pink morsel,$1641,23-09-2019,north
pink morsel,$1779,23-09-2019,south
pink morsel,$1659,23-09-2019,east
pink morsel,$1797,23-09-2019,west
pink morsel,$1767,24-09-2019,north
pink morsel,$1755,24-09-2019,south
pink morsel,$1602,24-09-2019,east
pink morsel,$1524,24-09-2019,west
pink morsel,$1794,25-09-2019,north
pink morsel,$1626,25-09-2019,south
pink morsel,$1617,25-09-2019,east
pink morsel,$1773,25-09-2019,west
pink morsel,$1719,26-09-2019,north
pink morsel,$1509,26-09-2019,south
pink morsel,$1686,26-09-2019,east
pink morsel,$1668,26-09-2019,west
pink morsel,$1731,27-09-2019,north
pink morsel,$1590,27-09-2019,south
pink morsel,$1728,27-09-2019,east
pink morsel,$1722,27-09-2019,west
pink morsel,$1548,28-09-2019,north
pink morsel,$1599,28-09-2019,south
pink morsel,$1605,28-09-2019,east
pink morsel,$1671,28-09-2019,west
pink morsel,$1512,29-09-2019,north
pink morsel,$1650,29-09-2019,south
pink morsel,$1614,29-09-2019,east
pink morsel,$1674,29-09-2019,west
pink morsel,$1638,30-09-2019,north
pink morsel,$1731,30-09-2019,south
pink morsel,$1716,30-09-2019,east
pink morsel,$1566,30-09-2019,west
pink morsel,$1707,01-10-2019,north
pink morsel,$1554,01-10-2019,south
pink morsel,$1632,01-10-2019,east
pink morsel,$1584,01-10-2019,west
pink morsel,$1653,02-10-2019,north
pink morsel,$1770,02-10-2019,south
pink morsel,$1758,02-10-2019,east
pink morsel,$1569,02-10-2019,west
pink morsel,$1797,03-10-2019,north
pink morsel,$1551,03-10-2019,south
pink morsel,$1677,03-10-2019,east
pink morsel,$1599,03-10-2019,west
pink morsel,$1512,04-10-2019,north
pink morsel,$1635,04-10-2019,south
pink morsel,$1749,04-10-2019,east
pink morsel,$1689,04-10-2019,west
pink morsel,$1614,05-10-2019,north
pink morsel,$1527,05-10-2019,south
pink morsel,$1521,05-10-2019,east
pink morsel,$1725,05-10-2019,west
pink morsel,$1587,06-10-2019,north
pink morsel,$1701,06-10-2019,south
pink morsel,$1566,06-10-2019,east
pink morsel,$1752,06-10-2019,west
pink morsel,$1668,07-10-2019,north
pink morsel,$1686,07-10-2019,south
pink morsel,$1611,07-10-2019,east
pink morsel,$1569,07-10-2019,west
pink morsel,$1599,08-10-2019,north
pink morsel,$1539,08-10-2019,south
pink morsel,$1611,08-10-2019,east
pink morsel,$1605,08-10-2019,west
pink morsel,$1680,09-10-2019,north
pink morsel,$1704,09-10-2019,south
pink morsel,$1689,09-10-2019,east
pink morsel,$1644,09-10-2019,west
pink morsel,$1701,10-10-2019,north
pink morsel,$1560,10-10-2019,south
pink morsel,$1791,10-10-2019,east
pink morsel,$1698,10-10-2019,west
pink morsel,$1539,11-10-2019,north
pink morsel,$1542,11-10-2019,south
pink morsel,$1704,11-10-2019,east
pink morsel,$1728,11-10-2019,west
pink morsel,$1590,12-10-2019,north
pink morsel,$1743,12-10-2019,south
pink morsel,$1569,12-10-2019,east
pink morsel,$1722,12-10-2019,west
pink morsel,$1545,13-10-2019,north
pink morsel,$1533,13-10-2019,south
pink morsel,$1674,13-10-2019,east
pink morsel,$1704,13-10-2019,west
pink morsel,$1524,14-10-2019,north
pink morsel,$1578,14-10-2019,south
pink morsel,$1692,14-10-2019,east
pink morsel,$1635,14-10-2019,west
pink morsel,$1782,15-10-2019,north
pink morsel,$1587,15-10-2019,south
pink morsel,$1638,15-10-2019,east
pink morsel,$1752,15-10-2019,west
pink morsel,$1542,16-10-2019,north
pink morsel,$1608,16-10-2019,south
pink morsel,$1683,16-10-2019,east
pink morsel,$1596,16-10-2019,west
pink morsel,$1527,17-10-2019,north
pink morsel,$1737,17-10-2019,south
pink morsel,$1671,17-10-2019,east
pink morsel,$1662,17-10-2019,west
pink morsel,$1518,18-10-2019,north
pink morsel,$1746,18-10-2019,south
pink morsel,$1590,18-10-2019,east
pink morsel,$1710,18-10-2019,west
pink morsel,$1647,19-10-2019,north
pink morsel,$1737,19-10-2019,south
pink morsel,$1761,19-10-2019,east
pink morsel,$1587,19-10-2019,west
pink morsel,$1701,20-10-2019,north
pink morsel,$1524,20-10-2019,south
pink morsel,$1677,20-10-2019,east
pink morsel,$1725,20-10-2019,west
pink morsel,$1653,21-10-2019,north
pink morsel,$1686,21-10-2019,south
pink morsel,$1698,21-10-2019,east
pink morsel,$1560,21-10-2019,west
pink morsel,$1515,22-10-2019,north
pink morsel,$1734,22-10-2019,south
pink morsel,$1551,22-10-2019,east
pink morsel,$1713,22-10-2019,west
pink morsel,$1758,23-10-2019,north
pink morsel,$1644,23-10-2019,south
pink morsel,$1758,23-10-2019,east
pink morsel,$1641,23-10-2019,west
pink morsel,$1617,24-10-2019,north
pink morsel,$1611,24-10-2019,south
pink morsel,$1788,24-10-2019,east
pink morsel,$1602,24-10-2019,west
pink morsel,$1638,25-10-2019,north
pink morsel,$1620,25-10-2019,south
pink morsel,$1665,25-10-2019,east
pink morsel,$1500,25-10-2019,west
pink morsel,$1671,26-10-2019,north
pink morsel,$1566,26-10-2019,south
pink morsel,$1740,26-10-2019,east
pink morsel,$1599,26-10-2019,west
pink morsel,$1710,27-10-2019,north
pink morsel,$1668,27-10-2019,south
pink morsel,$1740,27-10-2019,east
pink morsel,$1698,27-10-2019,west
pink morsel,$1503,28-10-2019,north
pink morsel,$1689,28-10-2019,south
pink morsel,$1626,28-10-2019,east
pink morsel,$1674,28-10-2019,west
pink morsel,$1542,29-10-2019,north
pink morsel,$1692,29-10-2019,south
pink morsel,$1719,29-10-2019,east
pink morsel,$1512,29-10-2019,west
pink morsel,$1731,30-10-2019,north
pink morsel,$1644,30-10-2019,south
pink morsel,$1746,30-10-2019,east
pink morsel,$1689,30-10-2019,west
pink morsel,$1800,31-10-2019,north
pink morsel,$1527,31-10-2019,south
pink morsel,$1533,31-10-2019,east
pink morsel,$1800,31-10-2019,west
pink morsel,$1644,01-11-2019,north
pink morsel,$1500,01-11-2019,south
pink morsel,$1800,01-11-2019,east
pink morsel,$1767,01-11-2019,west
pink morsel,$1791,02-11-2019,north
pink morsel,$1776,02-11-2019,south
pink morsel,$1596,02-11-2019,east
pink morsel,$1734,02-11-2019,west
pink morsel,$1542,03-11-2019,north
pink morsel,$1608,03-11-2019,south
pink morsel,$1617,03-11-2019,east
pink morsel,$1623,03-11-2019,west
pink morsel,$1674,04-11-2019,north
pink morsel,$1782,04-11-2019,south
pink morsel,$1680,04-11-2019,east
pink morsel,$1512,04-11-2019,west
pink morsel,$1500,05-11-2019,north
pink morsel,$1668,05-11-2019,south
pink morsel,$1758,05-11-2019,east
pink morsel,$1533,05-11-2019,west
pink morsel,$1785,06-11-2019,north
pink morsel,$1533,06-11-2019,south
pink morsel,$1659,06-11-2019,east
pink morsel,$1506,06-11-2019,west
pink morsel,$1656,07-11-2019,north
pink morsel,$1728,07-11-2019,south
pink morsel,$1728,07-11-2019,east
pink morsel,$1713,07-11-2019,west
pink morsel,$1797,08-11-2019,north
pink morsel,$1686,08-11-2019,south
pink morsel,$1584,08-11-2019,east
pink morsel,$1713,08-11-2019,west
pink morsel,$1665,09-11-2019,north
pink morsel,$1557,09-11-2019,south
pink morsel,$1656,09-11-2019,east
pink morsel,$1767,09-11-2019,west
pink morsel,$1515,10-11-2019,north
pink morsel,$1761,10-11-2019,south
pink morsel,$1767,10-11-2019,east
pink morsel,$1641,10-11-2019,west
pink morsel,$1584,11-11-2019,north
pink morsel,$1545,11-11-2019,south
pink morsel,$1695,11-11-2019,east
pink morsel,$1761,11-11-2019,west
pink morsel,$1701,12-11-2019,north
pink morsel,$1767,12-11-2019,south
pink morsel,$1632,12-11-2019,east
pink morsel,$1704,12-11-2019,west
pink morsel,$1599,13-11-2019,north
pink morsel,$1509,13-11-2019,south
pink morsel,$1728,13-11-2019,east
pink morsel,$1683,13-11-2019,west
pink morsel,$1740,14-11-2019,north
pink morsel,$1626,14-11-2019,south
pink morsel,$1572,14-11-2019,east
pink morsel,$1716,14-11-2019,west
pink morsel,$1641,15-11-2019,north
pink morsel,$1560,15-11-2019,south
pink morsel,$1614,15-11-2019,east
pink morsel,$1605,15-11-2019,west
pink morsel,$1503,16-11-2019,north
pink morsel,$1638,16-11-2019,south
pink morsel,$1662,16-11-2019,east
pink morsel,$1653,16-11-2019,west
pink morsel,$1734,17-11-2019,north
pink morsel,$1599,17-11-2019,south
pink morsel,$1515,17-11-2019,east
pink morsel,$1608,17-11-2019,west
pink morsel,$1566,18-11-2019,north
pink morsel,$1734,18-11-2019,south
pink morsel,$1719,18-11-2019,east
pink morsel,$1773,18-11-2019,west
pink morsel,$1791,19-11-2019,north
pink morsel,$1779,19-11-2019,south
pink morsel,$1641,19-11-2019,east
pink morsel,$1617,19-11-2019,west
pink morsel,$1533,20-11-2019,north
pink morsel,$1527,20-11-2019,south
pink morsel,$1512,20-11-2019,east
pink morsel,$1515,20-11-2019,west
pink morsel,$1734,21-11-2019,north
pink morsel,$1668,21-11-2019,south
pink morsel,$1665,21-11-2019,east
pink morsel,$1644,21-11-2019,west
pink morsel,$1767,22-11-2019,north
pink morsel,$1647,22-11-2019,south
pink morsel,$1665,22-11-2019,east
pink morsel,$1776,22-11-2019,west
pink morsel,$1665,23-11-2019,north
pink morsel,$1632,23-11-2019,south
pink morsel,$1521,23-11-2019,east
pink morsel,$1659,23-11-2019,west
pink morsel,$1623,24-11-2019,north
pink morsel,$1698,24-11-2019,south
pink morsel,$1596,24-11-2019,east
pink morsel,$1674,24-11-2019,west
pink morsel,$1749,25-11-2019,north
pink morsel,$1536,25-11-2019,south
pink morsel,$1734,25-11-2019,east
pink morsel,$1716,25-11-2019,west
pink morsel,$1599,26-11-2019,north
pink morsel,$1500,26-11-2019,south
pink morsel,$1518,26-11-2019,east
pink morsel,$1584,26-11-2019,west
pink morsel,$1551,27-11-2019,north
pink morsel,$1701,27-11-2019,south
pink morsel,$1689,27-11-2019,east
pink morsel,$1746,27-11-2019,west
pink morsel,$1725,28-11-2019,north
pink morsel,$1776,28-11-2019,south
pink morsel,$1707,28-11-2019,east
pink morsel,$1794,28-11-2019,west
pink morsel,$1641,29-11-2019,north
pink morsel,$1653,29-11-2019,south
pink morsel,$1716,29-11-2019,east
pink morsel,$1776,29-11-2019,west
pink morsel,$1797,30-11-2019,north
pink morsel,$1782,30-11-2019,south
pink morsel,$1653,30-11-2019,east
pink morsel,$1596,30-11-2019,west
pink morsel,$1704,01-12-2019,north
pink morsel,$1626,01-12-2019,south
pink morsel,$1617,01-12-2019,east
pink morsel,$1680,01-12-2019,west
pink morsel,$1608,02-12-2019,north
pink morsel,$1713,02-12-2019,south
pink morsel,$1632,02-12-2019,east
pink morsel,$1680,02-12-2019,west
pink morsel,$1791,03-12-2019,north
pink morsel,$1761,03-12-2019,south
pink morsel,$1749,03-12-2019,east
pink morsel,$1626,03-12-2019,west
pink morsel,$1773,04-12-2019,north
pink morsel,$1623,04-12-2019,south
pink morsel,$1662,04-12-2019,east
pink morsel,$1731,04-12-2019,west
pink morsel,$1755,05-12-2019,north
pink morsel,$1602,05-12-2019,south
pink morsel,$1740,05-12-2019,east
pink morsel,$1605,05-12-2019,west
pink morsel,$1680,06-12-2019,north
pink morsel,$1572,06-12-2019,south
pink morsel,$1542,06-12-2019,east
pink morsel,$1779,06-12-2019,west
pink morsel,$1671,07-12-2019,north
pink morsel,$1722,07-12-2019,south
pink morsel,$1728,07-12-2019,east
pink morsel,$1659,07-12-2019,west
pink morsel,$1770,08-12-2019,north
pink morsel,$1632,08-12-2019,south
pink morsel,$1536,08-12-2019,east
pink morsel,$1734,08-12-2019,west
pink morsel,$1584,09-12-2019,north
pink morsel,$1713,09-12-2019,south
pink morsel,$1728,09-12-2019,east
pink morsel,$1725,09-12-2019,west
pink morsel,$1506,10-12-2019,north
pink morsel,$1503,10-12-2019,south
pink morsel,$1521,10-12-2019,east
pink morsel,$1713,10-12-2019,west
pink morsel,$1635,11-12-2019,north
pink morsel,$1506,11-12-2019,south
pink morsel,$1542,11-12-2019,east
